county_name,democrat2000,democrat2004,democrat2008,democrat2012,democrat2016,democrat2020,democrat2024,republican2000,republican2004,republican2008,republican2012,republican2016,republican2020,republican2024,demVotePercent2000,repVotePercent2000,demVotePercent2004,repVotePercent2004,demVotePercent2008,repVotePercent2008,demVotePercent2012,repVotePercent2012,demVotePercent2016,repVotePercent2016,demVotePercent2020,repVotePercent2020,demVotePercent2024,repVotePercent2024
DAVIDSON,16199,17191,22433,20624,18109,22636,24150,35387,42075,45419,49383,54317,64658,67959,31.4,68.6,29.01,70.99,33.06,66.94,29.46,70.54,25.0,75.0,25.93,74.07,26.22,73.78
DAVIE,3651,4233,6178,5735,5270,6713,6988,10184,12372,13981,14687,15602,18228,19398,26.39,73.61,25.49,74.51,30.65,69.35,28.08,71.92,25.25,74.75,26.92,73.08,26.48,73.52
DUPLIN,6475,6923,8958,9033,8283,8767,8057,7840,9611,10834,11416,12217,13793,14677,45.23,54.77,41.87,58.13,45.26,54.74,44.17,55.83,40.4,59.6,38.86,61.14,35.44,64.56
DURHAM,53907,74524,103456,111224,121250,144688,144450,30150,34614,32353,33769,28350,32459,32853,64.13,35.87,68.28,31.72,76.18,23.82,76.71,23.29,81.05,18.95,81.68,18.32,81.47,18.53
EDGECOMBE,11315,12877,17403,18310,16224,16089,14900,6836,8163,8445,8546,8261,9206,9355,62.34,37.66,61.2,38.8,67.33,32.67,68.18,31.82,66.26,33.74,63.61,36.39,61.43,38.57
FORSYTH,52457,63340,91085,92323,94464,113033,114145,67700,75294,73674,79768,75975,85064,87292,43.66,56.34,45.69,54.31,55.28,44.72,53.65,46.35,55.42,44.58,57.06,42.94,56.67,43.33
FRANKLIN,7454,9286,13085,13436,12874,15879,18167,8501,11540,13273,14603,16368,20901,23938,46.72,53.28,44.59,55.41,49.64,50.36,47.92,52.08,44.03,55.97,43.17,56.83,43.15,56.85
GASTON,19281,20254,31384,33171,31177,40959,44062,39453,43252,52507,56138,61798,73033,73828,32.83,67.17,31.89,68.11,37.41,62.59,37.14,62.86,33.53,66.47,35.93,64.07,37.38,62.62
GATES,1944,2121,2830,2786,2385,2546,2268,1480,1924,2547,2564,2874,3367,3538,56.78,43.22,52.44,47.56,52.63,47.37,52.07,47.93,45.35,54.65,43.06,56.94,39.06,60.94
GRAHAM,1006,1272,1265,1119,768,905,839,2304,2693,2824,2750,3283,3710,3883,30.39,69.61,32.08,67.92,30.94,69.06,28.92,71.08,18.96,81.04,19.61,80.39,17.77,82.23
GRANVILLE,7733,9057,13074,13598,12909,14565,14365,7364,9491,11447,12405,13591,16647,17383,51.22,48.78,48.83,51.17,53.32,46.68,52.29,47.71,48.71,51.29,46.66,53.34,45.25,54.75
GREENE,2478,2665,3796,3778,3605,3832,3437,3353,3800,4272,4411,4374,4874,4965,42.5,57.5,41.22,58.78,47.05,52.95,46.14,53.86,45.18,54.82,44.02,55.98,40.91,59.09
GUILFORD,80787,100042,142101,146365,149248,173086,171118,84394,98254,97718,104789,98062,107294,109077,48.91,51.09,50.45,49.55,59.25,40.75,58.28,41.72,60.35,39.65,61.73,38.27,61.07,38.93
HALIFAX,10222,11528,16047,17176,15748,15545,14014,6698,8088,8961,8763,9031,10080,9778,60.41,39.59,58.77,41.23,64.17,35.83,66.22,33.78,63.55,36.45,60.66,39.34,58.9,41.1
HARNETT,9155,11563,16785,17331,16737,22093,23472,14762,20922,23579,25565,27614,35177,39440,38.28,61.72,35.59,64.41,41.58,58.42,40.4,59.6,37.74,62.26,38.58,61.42,37.31,62.69
HAYWOOD,9793,11237,12730,11833,10473,13144,13913,12118,14545,14910,15633,18929,22834,23393,44.69,55.31,43.58,56.42,46.06,53.94,43.08,56.92,35.62,64.38,36.53,63.47,37.29,62.71
HENDERSON,12562,15003,20082,18642,19827,27211,29361,25688,28025,30930,32994,35809,40032,39497,32.84,67.16,34.87,65.13,39.37,60.63,36.1,63.9,35.64,64.36,40.47,59.53,42.64,57.36
