county_name,democrat2000,democrat2004,democrat2008,democrat2012,democrat2016,democrat2020,democrat2024,republican2000,republican2004,republican2008,republican2012,republican2016,republican2020,republican2024
NEW HANOVER,29292,35572,49145,48668,50979,66138,68814,36503,45351,50544,53385,55344,63331,67949
NORTHAMPTON,5513,5584,6903,7232,6144,5799,5239,2667,3176,3671,3483,3582,3989,3905
ONSLOW,10269,11250,19499,18490,17514,24266,35684,19657,25890,30278,32243,37122,46078,54960
ORANGE,30921,42910,53806,53901,59923,63594,65444,17930,20771,20266,21539,18557,20176,20806
PAMLICO,2188,2335,2838,2647,2448,2713,2676,2999,3679,3823,4051,4258,4849,5229
PASQUOTANK,5874,6984,10272,10282,8615,9832,9549,4943,6609,7778,7633,8180,9770,10537
PENDER,6415,6999,9907,9632,9354,11723,12460,7661,10037,13618,14617,17639,21956,26042
PERQUIMANS,2033,1971,2772,2759,2319,2492,2269,2230,2965,3678,3822,4177,4903,5278
PERSON,5042,6198,8446,8418,7833,8465,8295,6722,8973,10030,10496,11185,13184,13509
PITT,19685,24924,40501,41843,41824,47252,45595,23192,28590,33927,36214,35691,38982,40403
POLK,3114,3787,4396,4013,3735,4518,4827,5074,5140,5990,6236,6768,7689,8107
RANDOLPH,11366,12966,16414,14773,13194,15618,15951,30959,37771,40998,45160,49430,56894,59357
RICHMOND,7935,8383,9713,9904,8501,8754,7787,6263,7709,9424,9332,10383,11830,11931
ROBESON,17834,17868,23058,24988,19016,19020,16728,11721,15909,17433,17510,20762,27806,29647
ROCKINGHAM,13260,14430,17255,16351,14228,15992,15676,18979,22840,23899,25227,26830,31301,33447
ROWAN,14891,16735,23391,22650,19400,23114,23788,28922,34915,37451,38775,42810,49297,50807
RUTHERFORD,7697,8184,9641,9374,7512,9135,8914,13755,16343,18769,18954,21871,24891,25456
SAMPSON,8768,9649,11836,11566,10547,10966,9797,10410,12600,14038,14422,14838,17411,18178
SCOTLAND,5627,6386,8151,8215,7319,7186,6754,3740,5141,6005,5831,6256,7473,7767
STANLY,7066,7650,8878,8431,7094,8129,8881,15548,17814,19329,19904,21964,25458,27518
STOKES,5030,5767,6875,6018,4665,5286,5380,12028,13583,14488,15237,17116,20142,21548
SURRY,7757,8304,10475,9112,7488,8721,8613,15401,17587,18730,19923,23671,27538,28565
SWAIN,2097,2419,2806,2618,2196,2780,2643,2224,2593,2900,2976,3565,4161,4311
TRANSYLVANIA,5044,6097,7275,6826,6558,8444,8972,9011,9386,9401,9634,10520,11636,11492
TYRRELL,849,731,933,837,720,758,680,706,855,960,930,975,1044,1057
UNION,14890,17974,31189,32473,34337,48725,51168,31876,42820,54123,61107,66707,80382,86271
VANCE,7092,8762,13166,13323,12229,12431,11292,5564,6884,7606,7429,7332,8391,8614
WAKE,123466,169909,250891,267262,302736,393336,402984,142494,177324,187001,211596,196082,226197,236735
WARREN,4576,5171,7086,6978,6413,6400,5872,2202,2840,3063,3140,3214,3752,3976
WASHINGTON,2704,2969,3748,3833,3510,3396,3138,2169,2484,2670,2622,2564,2781,2768
WATAUGA,7959,11232,14558,13002,14138,17122,17225,10438,12659,13344,13861,13697,14451,15254
WAYNE,13005,15076,22671,23314,21770,24215,22618,20758,24883,26952,27641,27540,30709,31580
WILKES,7226,7862,8934,8148,6638,7511,7194,16826,19197,20288,20515,23752,27592,28812
WILSON,11266,14206,19652,20875,19663,20754,19909,13466,16264,17375,17954,17531,19581,19750
YADKIN,3127,3451,4527,3957,3160,3763,3739,10435,11816,12409,12578,13880,15933,16439
YANCEY,3714,4434,4486,3981,3196,3688,3635,4970,4940,5045,5278,6385,7516,7509
