Alamance,184114,15,0.016761855721348647,15,0.1835714010208411,13,28556,13,40.22386538,70,0.906193199999997,55,0.20509032447288092,38,0.22666143817740006,31,0.1908165593056476,74,0.15883464688412038,70,0.05138664088553831,82,9461,22,68769,51,-0.14083855975612802,75,724,21,0.005555555555555556,24,0.86,32,0.776,42,0.8228736826480629,28,0.794642995701361,33,0.15,16,5692,82,978,29,0.7749603803486529,29,48980,45,0.842898690392194,45,6674.713,18,6674.694,18,0.4743589758872986,75,0.4640151560306549,76,1970.6643661460225,49,48.827151,16,0.1248997449874878,39,0.10110276937484741,21,0.1107086688280106,52,4646,87,0.4767669,30,20008,25925,0.14300000000000002,23,0.114,22,0.31200039692602843,49,56595,88,0.07279039326162427,23,7674,83,0.14,65,0.145,65,167.5,62,284,86,34.2,31,58,78,0.469,18,0.432,13,601.3887110259435,91,109.08830384784,20,139210.34977452396,45,25251.922187,16,0.020564368163460574,83,442.160519,25,0.0675
Alexander,36464,67,0.0033197057639465606,67,-0.009749341444206068,63,-359,63,44.22538293,33,1.7992880400000004,25,0.18437362878455463,68,0.20821225864269613,65,0.21632294866169371,47,0.17709040545311355,49,0.05347740236946029,77,1950,72,50799,69,-0.06181435378421305,57,535,32,-0.016544117647058824,30,0.836,42,0.74,55,0.7721822541966427,54,0.7441597854471028,57,0.209,47,1467,39,841,85,0.6664025356576863,85,48035,55,0.8266361493056154,55,884.399,71,843.864,71,0.3487179577350616,88,0.3383084535598755,93,1734.01315171442,59,7.383428,65,0.1670317649841309,72,0.16309943795204163,71,0.1145170629024506,54,990,40,0.3691151,75,3191,4753,0.149,34,0.116,23,0.2939509806618436,39,10686,34,0.08339933839630993,40,1790,36,0.129,41,0.125,26,162.7,60,61,41,29.3,23,11,26,0.65,58,0.67,55,744.9967501389157,65,27.082866857800003,68,111193.54479685308,63,4042.218934,69,0.07600592863911458,34,272.126608,56,0.07
Alleghany,11464,93,0.0010436898551416018,93,0.049432442328817286,54,540,54,45.93081761,22,-1.0351687900000002,91,0.1674808094905792,83,0.18500549249359208,87,0.2668353105373343,18,0.24047967777370927,11,0.07248778785764132,31,831,94,63298,59,-0.103338857960421,65,435,40,-0.029017857142857144,36,0.792,69,0.764,46,0.7166295321045169,78,0.7247967479674797,69,0.253,72,458,8,779,96,0.6172741679873217,96,44464,80,0.7651826739403534,80,302.981,90,303.326,90,1.126984119415283,14,0.9863013625144958,14,2170.788154897494,39,2.858928,83,0.1431670337915421,55,0.1596638709306717,66,0.2227635085582733,97,503,22,0.3773251,70,852,1066,0.18,93,0.158,93,0.310869945737791,47,3552,9,0.0921311475409836,56,562,8,0.184,95,0.17,89,134.7,48,15,15,44.9,57,5,10,0.597,44,0.597,36,1093.0464378872746,16,12.489148599299998,89,183089.8555925083,24,2091.98469,85,0.17075155115466117,8,366.6975,37,0.07
Anson,22059,75,0.0020082653972931432,75,-0.12248388893308934,90,-3079,90,40.29137931,69,0.31554849000000473,78,0.21084364658416066,28,0.21043838014161828,58,0.1949317738791423,71,0.1630201288885353,62,0.0632848270547169,43,1396,77,84695,39,-0.007441696941286769,42,421,43,0.021844660194174758,18,0.834,43,0.746,52,0.7123155093152673,79,0.6906837517067534,80,0.326,94,1395,38,857,73,0.679080824088748,73,50187,37,0.8636699994837288,37,836.697,72,761.818,76,0.6094674468040466,59,1.013071894645691,13,,,,,0.1032902970910072,24,0.1552227884531021,62,0.1399257034063339,78,791,35,0.2313816,100,1308,3185,0.161,62,0.125,39,0.46013492099425,91,10163,33,0.1418405304868187,94,1754,35,0.13,44,0.128,33,159.5,57,39,31,28.6,21,7,18,0.777,82,0.777,78,783.9740500932675,55,17.31563484441,80,100897.56114456468,75,2228.524433,82,0.2061813646130005,3,346.2923,38,0.07
Ashe,27196,73,0.0024759411462343863,73,0.01926392324413462,55,514,55,48.34493671,12,1.8652855499999959,23,0.16704662450360347,86,0.18859155985308448,81,0.27095896455361085,15,0.22910576418559328,15,0.05526548021767907,70,1503,74,84498,40,-0.23036706439566446,88,760,17,-0.12037037037037036,65,0.794,65,0.704,70,0.7858411570667343,48,0.739236052940191,59,0.20600000000000002,45,911,24,859,71,0.6806656101426307,71,44433,81,0.7646491937565609,81,777.808,76,763.359,75,0.7878788113594055,33,1.2952381372451782,3,2390.492027334852,29,6.296556,67,0.05541346967220306,9,0.05606258288025856,4,0.09036777913570404,36,516,24,0.4385289,42,2504,4133,0.162,64,0.131,50,0.2790732159406858,32,7528,26,0.07966414089698956,31,1167,22,0.13699999999999998,57,0.138,57,95.6,28,26,25,25.7,17,7,18,0.44,14,0.44,14,977.1609892122335,27,26.358917684,70,222082.04300278035,10,5990.66311,55,0.07500036923753665,35,428.7048,29,0.07
Avery,17395,84,0.0015836518693464904,84,-0.020110410094637224,62,-357,62,46.12645914,20,2.2736289500000026,14,0.15263006611095142,96,0.1615592609283461,99,0.23644725495832136,32,0.19862550698512843,26,0.051279103190572,83,892,92,22598,87,-0.21203668189267408,86,335,55,-0.045584045584045586,41,0.811,50,0.709,69,0.7785835519209998,50,0.7322546176156313,65,0.205,44,502,10,808,94,0.6402535657686212,94,45653,69,0.785644220344525,69,630.17,80,631.571,79,0.7560975551605225,36,0.8536585569381714,29,2889.2455858747994,18,5.4,73,0.05513404309749603,6,0.05873642489314079,6,0.1233944967389107,62,538,26,0.387156,66,1688,1782,0.153,39,0.131,50,0.2514660227664712,20,4374,11,0.0665505545879549,20,726,13,0.155,80,0.163,87,102.5,32,18,19,28.5,19,5,10,0.4,9,0.4,9,1411.8772551454524,5,24.558192976,74,352969.3137863631,2,6139.548244,54,0.018388239100955283,87,105.4974,92,0.0675
Beaufort,43593,58,0.0039687344605013825,58,-0.06079931056770441,87,-2822,87,46.10040568,21,1.3820347999999996,38,0.19122336154887254,62,0.2134654745233222,52,0.26898814029775425,17,0.21684800172358074,20,0.07356685706420756,27,3207,50,139853,14,0.002710163111668758,38,259,66,-0.16451612903225807,81,0.811,50,0.693,77,0.7755639890364748,52,0.7359017308766053,63,0.282,82,2374,50,906,44,0.7179080824088748,44,54554,25,0.9388218692457279,25,1861.636,49,1876.283,47,0.5158730149269104,69,0.4664310812950134,75,2589.940648379052,23,15.578493,40,0.1856655329465866,88,0.13539139926433563,47,0.1211434751749039,60,1123,42,0.4050701,60,3755,5588,0.157,50,0.132,55,0.3677058353317346,73,16100,45,0.11360634081902246,83,2666,46,0.138,61,0.13699999999999998,55,80.9,22,38,30,51.1,73,24,53,0.625,52,0.625,44,921.1171515644628,37,40.331114481250005,54,147378.74425031405,38,6452.978317,51,0.06230002554300183,40,273.811556,53,0.0675
Bertie,16739,85,0.0015239292118994481,85,-0.15245569620253163,89,-3011,89,40.6009772,68,-1.3840227999999968,94,0.19445606069657687,55,0.19984810126582278,71,0.2121393153712886,51,0.1810126582278481,41,0.06481868689885895,40,1085,86,161862,8,0.09282777338923659,20,288,59,-0.10835913312693499,59,0.637,99,0.582,96,0.6940148911798396,88,0.634593501074725,93,0.349,96,996,26,812,93,0.6434231378763867,93,49409,43,0.8502813677743551,43,641.269,78,629.495,80,0.79347825050354,32,0.8910890817642212,24,1851.7865443425076,54,3.027671,79,0.1854485720396042,87,0.1846388578414917,87,0.1682502925395966,92,726,31,0.3682503,77,1589,2372,0.16,57,0.141,75,0.43601163964605977,85,7342,24,0.115027635832725,85,1103,20,0.11699999999999999,12,0.114,7,68.6,10,13,12,31.7,27,6,14,0.93,98,0.865,95,765.3820235494982,60,12.88826789455,87,88483.47093057782,87,1489.973167,94,0.1569758524553033,11,188.073989,75,0.07
Bladen,28850,72,0.0026265223587609225,72,-0.12179233508873398,91,-4001,91,38.25888325,84,-2.4801944200000037,98,0.2230155979202773,17,0.22455937414386168,35,0.19518197573656845,70,0.17713311619128794,48,0.07282495667244368,28,2101,71,146195,11,-0.1893368082510813,81,423,42,-0.173828125,82,0.804,58,0.702,73,0.6953275952924645,87,0.7015253740099736,79,0.275,79,1599,40,884,57,0.7004754358161648,57,48424,52,0.8333304651603022,52,1413.795,63,1415.802,64,0.9734042286872864,18,0.8715596199035645,27,1739.132668545415,58,8.022619,64,0.2067166566848755,96,0.22405660152435303,97,0.08788303285837173,31,565,27,0.3607093,80,2319,4501,0.175,88,0.147,85,0.4630129402809494,93,13382,41,0.11916529379461833,87,1953,39,0.145,71,0.155,81,207.8,82,68,44,58.1,84,19,38,0.785,83,0.785,79,963.3204761469794,28,27.8418884016,67,122715.98422254516,57,3546.737376,73,0.09559026044794154,24,243.207368,59,0.0675
Brunswick,166886,19,0.015193407638272973,19,0.4451631898440409,5,51407,5,53.5,1,4.224248930000002,2,0.13937058830578958,99,0.17722702829085807,91,0.32521002360893064,3,0.2671567990716927,5,0.087011492875376,14,14521,10,45150,72,0.010225314926274808,34,238,70,0.030303030303030304,17,0.926,5,0.845,12,0.9008454403677255,3,0.870308263165406,11,0.165,27,3441,67,951,32,0.7535657686212361,32,58281,16,1.0029599545681391,16,5646.957,20,5377.103,20,0.5195402503013611,67,0.49345794320106506,70,3693.9964031218187,6,54.431037,14,0.1241298168897629,38,0.15151207149028778,60,0.08108213543891907,28,2077,61,0.4827061,28,12365,22373,0.135,17,0.112,19,0.22418792416042793,12,35875,76,0.08137410306983048,33,6725,79,0.122,21,0.11699999999999999,11,77,18,110,58,45.5,59,65,80,0.342,5,0.342,5,1075.4874343235304,18,172.10165021531998,15,314470.01003612,4,50322.119946,7,0.013583939177772205,90,619.85561,16,0.0675
