,population,populationRank,populationPercentOfState,populationPercentOfStateRank,populationChangeSince2014,populationChangeSince2014Rank,populationChangeSince2014Number,populationChangeSince2014NumberRank,medianAge,medianAgeRank,medianAgeChangePercent,under18ChangeRank,under18Percent,under18Rank,under18ChangeSince2014Percent,under18ChangeSince2014Rank,over65in2024Percent,over65in2024Rank,over65ChangeSince2014Percent,over65ChangeSince2014Rank,veteranPercent,veteranRank,veteranNumber,veteranNumberRank,agriculturalLandAcres,agriculturalLandRank,agriculturalLandChangeSince2017Percent,agriculturalLandChangeSince2017Rank,numberOfFarms,numberOfFarmsRank,numberOfFarmsChangeSince2017Percent,numberOfFarmsChangeSince2017Rank,broadbandInternetAccess2022Percent,broadbandInternetAccessPercent2022Rank,broadbandInternetAccess2019Percent,broadbandInternetAccessPercent2019Rank,computingDeviceAccess2022Percent,computingDeviceAccess2022PercentRank,computingDeviceAccess2019Percent,computingDeviceAccess2019PercentRank,childPovertyPercent,childPovertyPercentRank,childPovertyTotal,childPovertyTotalRank,averageWeeklyWage,averageWeeklyWageRank,averageWeeklyWageAsPercentofStateAverage,averageWeeklyWageAsPercentofStateAverageRank,perCapitaIncome,perCapitaIncomeRank,perCapitaIncomeAsPercentofStatePCI,perCapitaIncomeAsPercentofStatePCIRank,gdp2022,gdp2022Rank,Gdp2021,gdp2021Rank,preKEnrollment2023Percent,preKEnrollment2023PercentRank,preKEnrollment2022Percent,preKEnrollment2022PercentRank,k12FundingADM,k12FundingADMRank,k12Funding,k12FundingRank,youthOpportunity2022Percent,youthOpportunity2022PercentRank,youthOpportunity2019Percent,youthOpportunity2019PercentRank,adultsWithoutHSDiplomaPercent,adultsWithoutHSDiplomaPercentRank,adultsWithoutHSDiplomaTotal,adultsWithoutHSDiplomaTotalRank,educationalAttainmentPercent,educationalAttainmentPercentRank,educationalAttainmentNumber,educationalAttainmentGoal2030,foodInsecurity2022Percent,foodInsecurity2022PercentRank,foodInsecurity2021Percent,foodInsecurity2021PercentRank,medicaidEnrollmentTraditionalPercent,medicaidEnrollmentTraditionalPercentRank,medicaidEnrollmentTraditionalNumber,medicaidEnrollmentTraditionalNumberRank,medicaidEnrollmentExpansionPercent,medicaidEnrollmentExpansionPercentRank,medicaidEnrollmentExpansionNumber,medicaidEnrollmentExpansionNumberRank,uninsuredResidents2021Percent,uninsuredResidents2021PercentRank,uninsuredResidents2020Percent,uninsuredResidents2020PercentRank,drugOverdoseEmergenciesPerHundredThousand,drugOverdoseEmergenciesPerHundredThousandRank,drugOverdoseEmergenciesTotal,drugOverdoseEmergenciesTotalRank,overDoseDeathsPerHundredThousand,overDoseDeathsRank,overDoseDeathsTotal,overDoseDeathsTotalRank,propertyTaxRate,propertyTaxRateRank,propertyTaxLevy,propertyTaxLevyRank,propertyTaxPerCapita,propertyTaxPerCapitaRank,propertyTaxTotalLevy,propertyTaxTotalLevyRank,PropertyValuationPerCapita,PropertyValuationPerCapitaRank,PropertyValuationTotal,PropertyValuationTotalRank,puvDeferredShare,puvDeferredShareRank,puvValuationDeferred,puvValuationDeferredRank,localSalesTaxRate,Area (Square Mile),demVotePercent2000,repVotePercent2000,demVotePercent2004,repVotePercent2004,demVotePercent2008,repVotePercent2008,demVotePercent2012,repVotePercent2012,demVotePercent2016,repVotePercent2016,demVotePercent2020,repVotePercent2020,demVotePercent2024,repVotePercent2024
Pasquotank,40933,61,0.0037,61,0.0354,47,1398,47,37.8011,89,1.1122,48,0.2181,21,0.2278,30,0.1752,86,0.1459,82,0.0930,11,3805,45,95870,36,0.3283,4,133,85,0.0556,12,0.8720,23,0.7870,36,0.8224,30,0.7775,41,0.2280,60,1931,45,920,37,0.7290,37,47234,59,0.8129,59,1609.1080,58,1588.6030,57,0.9056,23,0.7004,43,"2,149.8297",40,11.3640,53,0.0982,19,0.1247,32,0.0746,21,808,36,0.4671,35,5061,4760,0.1330,16,0.1090,16,0.3289,57,13475,42,0.0899,53,2156,41,0.1120,8,0.1320,42,201,80,80,52,35,36,14,31,0.6200,50,0.6200,43,680.5118,77,27.8826,66,109759.9630,65,4497.1950,64,0.0576,45,219.2369,65,0.0700,226.9000,0.543034112970324,0.456965887029676,0.513793864489075,0.486206135510925,0.569085872576177,0.430914127423823,0.57393245883338,0.42606754116662,0.512950282822269,0.487049717177731,0.501581471278441,0.498418528721559,0.475405755252415,0.524594244747585
Pender,69485,40,0.0063,40,0.2649,22,14550,22,42.2726,54,0.7920,61,0.1956,53,0.2110,56,0.1973,61,0.1713,56,0.0760,24,5279,34,78903,43,0.2236,9,354,51,0.0536,13,0.8640,29,0.7920,33,0.8386,22,0.8252,19,0.1390,14,1994,48,869,68,0.6886,68,49887,38,0.8585,38,1777.1860,54,1749.3110,53,1.2092,10,0.9012,23,"2,320.5929",31,25.0415,31,0.1072,25,0.1215,28,0.0908,37,1342,45,0.5122,23,7567,12441,0.1380,20,0.1110,18,0.2751,28,18528,49,0.0632,15,2551,45,0.1330,48,0.1240,24,70,11,44,33,37,37,23,49,0.7375,76,0.7375,70,1048.5708,19,70.6328,29,142179.0914,43,9577.3258,38,0.0346,68,291.7661,48,0.0675,871.3000,0.455740267121341,0.544259732878659,0.410835876966424,0.589164123033576,0.421126461211477,0.578873538788523,0.397212256175512,0.602787743824488,0.346534286666914,0.653465713333086,0.348080406187832,0.651919593812168,0.323619552231053,0.676380447768947
Perquimans,13209,90,0.0012,90,-0.0113,60,-151,60,47.1627,14,-0.4955,85,0.1748,75,0.1950,76,0.2905,10,0.2509,8,0.0991,8,1309,80,78264,44,-0.0256,45,137,83,-0.0805,50,0.8090,53,0.7260,62,0.7969,44,0.7604,51,0.2300,63,553,11,820,92,0.6498,92,53355,28,0.9182,28,283.8810,92,285.9610,93,0.9730,19,0.7500,36,"2,060.5143",44,3.3895,77,0.0985,21,0.1243,31,0.0903,35,223,7,0.3814,69,942,2147,0.1550,45,0.1230,36,0.3121,50,4109,10,0.0823,36,590,9,0.1250,29,0.1190,13,89,24,12,10,67,90,9,24,0.5200,26,0.6400,47,936.0772,33,12.3235,91,146262.0678,39,1925.5401,89,0.1096,21,186.7974,76,0.0675,247.2000,0.476894205958245,0.523105794041755,0.399311183144246,0.600688816855754,0.429767441860465,0.570232558139535,0.419237197994226,0.580762802005774,0.356988916256158,0.643011083743842,0.336984448951995,0.663015551048005,0.300649264608454,0.699350735391546
Person,39272,63,0.0036,63,0.0159,52,615,52,43.0850,45,0.5551,67,0.1998,45,0.2162,49,0.2198,44,0.1720,54,0.0554,69,2174,68,88571,38,0.0776,22,364,50,-0.0738,47,0.8460,40,0.7860,37,0.7829,49,0.7919,36,0.2030,43,1611,41,926,36,0.7338,36,45304,72,0.7796,72,1537.2050,60,1472.5980,61,0.6411,54,0.5826,64,"2,247.2982",36,11.9466,52,0.1718,75,0.1778,82,0.0828,29,734,32,0.4209,52,3733,5871,0.1570,50,0.1340,60,0.3248,55,12743,39,0.0851,44,1930,38,0.1220,21,0.1220,18,175,64,69,45,25,15,10,25,0.7225,70,0.7225,63,1000.9949,23,39.2680,56,138546.0092,46,5435.0214,57,0.0895,28,341.3907,39,0.0675,392.3000,0.428595715742945,0.571404284257055,0.408542614198141,0.591457385801859,0.457133578696688,0.542866421303312,0.445067146029396,0.554932853970604,0.41187296245662,0.58812703754338,0.39101113215391,0.60898886784609,0.380434782608696,0.619565217391304
Pitt,177440,17,0.0162,17,0.0474,30,8033,30,32.8325,98,0.4810,71,0.2169,23,0.2245,36,0.1505,90,0.1140,93,0.0624,48,11071,16,151433,9,-0.1876,80,367,49,-0.2322,89,0.8550,36,0.8080,26,0.8295,25,0.8076,28,0.2290,61,8259,92,1086,10,0.8605,10,53495,27,0.9206,27,9399.4000,11,9243.0130,11,0.5100,71,0.5033,69,"2,014.9290",47,48.7895,17,0.0814,12,0.0895,14,0.0808,27,3519,81,0.5974,10,26034,31722,0.1560,46,0.1310,50,0.3426,65,60491,90,0.0929,60,9700,90,0.1260,31,0.1230,22,98,29,177,71,50,70,91,86,0.5663,34,0.6841,58,644.9627,86,113.8824,19,94279.0086,82,16647.0331,27,0.0383,64,487.0567,23,0.0700,652.4000,0.45910394850386,0.54089605149614,0.465747281085323,0.534252718914677,0.544163486859784,0.455836513140216,0.536056983998873,0.463943016001127,0.539560085144811,0.460439914855189,0.547950924229422,0.452049075770578,0.530186748529036,0.469813251470964
Polk,19660,80,0.0018,80,-0.0092,61,-183,61,51.3222,4,1.2168,43,0.1481,97,0.1731,96,0.3116,6,0.2691,3,0.0727,29,1430,76,24076,86,-0.1727,78,274,62,-0.0249,34,0.8080,54,0.7730,43,0.8073,35,0.7945,34,0.1950,40,591,12,832,88,0.6593,88,61494,11,1.0583,11,532.7550,82,509.0810,84,1.3284,5,1.0341,11,"3,034.8768",16,6.1578,68,0.1666,69,0.1366,50,0.0803,25,285,11,0.5187,20,1841,3478,0.1540,44,0.1220,34,0.2536,21,4976,15,0.0855,45,889,16,0.1310,45,0.1410,60,111,36,23,22,58,83,12,28,0.5343,28,0.5343,24,1011.5937,21,19.8454,78,189330.6521,19,3714.2887,72,0.0897,27,314.2677,45,0.0675,237.7000,0.380312652662433,0.619687347337567,0.424218662484597,0.575781337515403,0.423262083574042,0.576737916425958,0.391550395160503,0.608449604839497,0.355612682090831,0.644387317909169,0.370115507495699,0.629884492504301,0.373202412246791,0.626797587753209
Randolph,146358,22,0.0133,22,0.0285,36,4050,36,41.2224,63,0.5297,69,0.2059,35,0.2311,25,0.1956,69,0.1597,68,0.0576,62,8432,25,131301,17,-0.1115,67,1238,1,-0.0950,56,0.8550,36,0.7570,48,0.7917,46,0.7644,49,0.1760,32,5545,80,898,51,0.7116,51,46748,64,0.8045,64,4187.6820,27,4171.8910,27,0.4613,79,0.4282,82,"1,415.0733",73,30.3845,24,0.1614,62,0.1305,41,0.1426,81,4839,90,0.3604,81,12226,21511,0.1610,62,0.1350,62,0.3302,58,48123,81,0.1007,70,8668,85,0.1610,85,0.1510,76,246,89,353,89,79,95,114,91,0.5000,21,0.5000,21,591.0996,95,86.1350,26,118219.9142,58,17227.0059,26,0.0581,44,831.0130,11,0.0700,782.3000,0.268541051388069,0.731458948611931,0.255553146618838,0.744446853381162,0.285898418449105,0.714101581550895,0.246491915972836,0.753508084027164,0.210685998978028,0.789314001021972,0.215385039717564,0.784614960282436,0.211810166250598,0.788189833749402
Richmond,42299,60,0.0039,60,-0.0530,86,-2369,86,41.4296,61,0.9897,53,0.2247,15,0.2338,22,0.1962,65,0.1624,63,0.0626,46,2650,66,57946,63,-0.0207,43,261,65,0.1013,6,0.7960,64,0.7280,60,0.7082,80,0.6863,81,0.3060,89,2996,60,844,82,0.6688,82,46009,68,0.7918,68,2002.7690,45,1797.0470,51,0.6708,49,0.5908,60,"1,355.9543",77,8.6944,62,0.1625,65,0.1712,78,0.1492,88,1561,52,0.3655,78,3824,4390,0.1820,95,0.1660,97,0.5296,97,22506,60,0.1401,93,3338,58,0.1310,45,0.1490,73,500,100,224,78,83,96,37,68,0.7500,78,0.8300,87,727.5146,70,30.9157,65,87652.3574,89,3724.7869,71,0.0522,51,109.3218,91,0.0675,473.7000,0.558881532610227,0.441118467389773,0.52094208302262,0.47905791697738,0.507550817787532,0.492449182212468,0.514867955915991,0.485132044084009,0.450169455623809,0.549830544376191,0.425281772250291,0.574718227749709,0.394918348716908,0.605081651283092
Robeson,118737,25,0.0108,25,-0.0679,100,-8645,100,37.3694,91,1.2103,44,0.2266,13,0.2491,11,0.1769,84,0.1353,88,0.0628,45,7457,28,263080,2,-0.0025,41,732,19,0.0139,22,0.7030,96,0.5910,93,0.6519,96,0.5957,99,0.3500,97,10165,94,852,78,0.6751,78,41071,96,0.7068,96,3845.9130,29,3830.3960,29,0.5161,68,0.6690,46,638.1125,91,13.3608,48,0.2066,94,0.2196,95,0.2051,95,5796,95,0.3228,92,9123,14651,0.2040,99,0.1800,100,0.5909,100,69490,93,0.1742,99,11874,92,0.1690,89,0.1970,96,286,96,373,91,87,97,114,91,0.7500,78,0.7700,76,542.6153,98,63.8094,32,70469.5203,99,8286.9337,45,0.0385,63,198.8099,72,0.0700,947.3000,0.603417357469125,0.396582642530875,0.528999023003819,0.471000976996181,0.569459879973327,0.430540120026673,0.587980610852275,0.412019389147725,0.478053195233546,0.521946804766454,0.40618459830009,0.59381540169991,0.360711590296496,0.639288409703504
Rockingham,91571,32,0.0083,32,-0.0041,64,-379,64,44.2924,32,0.6648,65,0.1876,65,0.2091,63,0.2232,42,0.1816,40,0.0516,81,4725,38,109295,24,-0.1229,72,769,16,-0.0889,53,0.7720,79,0.6960,76,0.7183,77,0.7115,76,0.2290,61,4170,74,854,76,0.6767,76,45332,71,0.7801,71,2796.1000,35,2763.8620,35,0.4398,82,0.4055,84,"1,337.7410",79,15.8348,39,0.1629,66,0.1888,88,0.1430,82,2914,77,0.3838,67,7820,12094,0.1700,80,0.1400,74,0.3403,64,31164,73,0.0950,64,5070,72,0.1420,68,0.1330,44,235,85,214,77,75,93,68,82,0.5801,38,0.6950,62,655.4812,83,60.0237,37,94313.8368,81,8636.5067,44,0.0526,50,311.6284,46,0.0700,565.6000,0.411303080120351,0.588696919879649,0.387174671317413,0.612825328682587,0.419278806434368,0.580721193565632,0.393260859108182,0.606739140891818,0.346534171172488,0.653465828827512,0.338147294525617,0.661852705474383,0.319117317753395,0.680882682246605
