,population,populationRank,populationPercentOfState,populationPercentOfStateRank,populationChangeSince2014,populationChangeSince2014Rank,populationChangeSince2014Number,populationChangeSince2014NumberRank,medianAge,medianAgeRank,medianAgeChangePercent,under18ChangeRank,under18Percent,under18Rank,under18ChangeSince2014Percent,under18ChangeSince2014Rank,over65in2024Percent,over65in2024Rank,over65ChangeSince2014Percent,over65ChangeSince2014Rank,veteranPercent,veteranRank,veteranNumber,veteranNumberRank,agriculturalLandAcres,agriculturalLandRank,agriculturalLandChangeSince2017Percent,agriculturalLandChangeSince2017Rank,numberOfFarms,numberOfFarmsRank,numberOfFarmsChangeSince2017Percent,numberOfFarmsChangeSince2017Rank,broadbandInternetAccess2022Percent,broadbandInternetAccessPercent2022Rank,broadbandInternetAccess2019Percent,broadbandInternetAccessPercent2019Rank,computingDeviceAccess2022Percent,computingDeviceAccess2022PercentRank,computingDeviceAccess2019Percent,computingDeviceAccess2019PercentRank,childPovertyPercent,childPovertyPercentRank,childPovertyTotal,childPovertyTotalRank,averageWeeklyWage,averageWeeklyWageRank,averageWeeklyWageAsPercentofStateAverage,averageWeeklyWageAsPercentofStateAverageRank,perCapitaIncome,perCapitaIncomeRank,perCapitaIncomeAsPercentofStatePCI,perCapitaIncomeAsPercentofStatePCIRank,gdp2022,gdp2022Rank,Gdp2021,gdp2021Rank,preKEnrollment2023Percent,preKEnrollment2023PercentRank,preKEnrollment2022Percent,preKEnrollment2022PercentRank,k12FundingADM,k12FundingADMRank,k12Funding,k12FundingRank,youthOpportunity2022Percent,youthOpportunity2022PercentRank,youthOpportunity2019Percent,youthOpportunity2019PercentRank,adultsWithoutHSDiplomaPercent,adultsWithoutHSDiplomaPercentRank,adultsWithoutHSDiplomaTotal,adultsWithoutHSDiplomaTotalRank,educationalAttainmentPercent,educationalAttainmentPercentRank,educationalAttainmentNumber,educationalAttainmentGoal2030,foodInsecurity2022Percent,foodInsecurity2022PercentRank,foodInsecurity2021Percent,foodInsecurity2021PercentRank,medicaidEnrollmentTraditionalPercent,medicaidEnrollmentTraditionalPercentRank,medicaidEnrollmentTraditionalNumber,medicaidEnrollmentTraditionalNumberRank,medicaidEnrollmentExpansionPercent,medicaidEnrollmentExpansionPercentRank,medicaidEnrollmentExpansionNumber,medicaidEnrollmentExpansionNumberRank,uninsuredResidents2021Percent,uninsuredResidents2021PercentRank,uninsuredResidents2020Percent,uninsuredResidents2020PercentRank,drugOverdoseEmergenciesPerHundredThousand,drugOverdoseEmergenciesPerHundredThousandRank,drugOverdoseEmergenciesTotal,drugOverdoseEmergenciesTotalRank,overDoseDeathsPerHundredThousand,overDoseDeathsRank,overDoseDeathsTotal,overDoseDeathsTotalRank,propertyTaxRate,propertyTaxRateRank,propertyTaxLevy,propertyTaxLevyRank,propertyTaxPerCapita,propertyTaxPerCapitaRank,propertyTaxTotalLevy,propertyTaxTotalLevyRank,PropertyValuationPerCapita,PropertyValuationPerCapitaRank,PropertyValuationTotal,PropertyValuationTotalRank,puvDeferredShare,puvDeferredShareRank,puvValuationDeferred,puvValuationDeferredRank,localSalesTaxRate,Area (Square Mile),demVotePercent2000,repVotePercent2000,demVotePercent2004,repVotePercent2004,demVotePercent2008,repVotePercent2008,demVotePercent2012,repVotePercent2012,demVotePercent2016,repVotePercent2016,demVotePercent2020,repVotePercent2020,demVotePercent2024,repVotePercent2024
Rowan,153047,20,0.0139,20,0.0910,24,12761,24,41.0069,64,1.1877,47,0.2106,29,0.2281,29,0.1982,60,0.1592,69,0.0577,61,8828,24,104888,30,-0.1180,70,801,14,-0.1341,72,0.8730,21,0.8070,28,0.7996,39,0.7932,35,0.2310,64,7360,89,1058,13,0.8384,13,46990,60,0.8087,60,5809.9350,19,5680.4310,19,0.3403,90,0.3665,90,"2,236.3756",37,41.1091,19,0.1237,36,0.1277,36,0.1314,72,4662,88,0.4104,56,14562,19840,0.1560,46,0.1320,55,0.3285,56,49960,83,0.0783,29,6817,80,0.1450,71,0.1290,36,253,91,360,90,75,94,107,90,0.5800,37,0.5800,32,761.8304,62,115.8470,18,131350.0605,53,19973.6156,21,0.0593,43,984.3807,5,0.0700,511.6000,0.339876292424623,0.660123707575377,0.324007744433688,0.675992255566312,0.384454817395878,0.615545182604122,0.368742368742369,0.631257631257631,0.311846969940524,0.688153030059476,0.31920564555109,0.68079435444891,0.318895368322274,0.681104631677726
Rutherford,65035,43,0.0059,43,-0.0103,69,-677,69,43.4341,43,0.4542,73,0.1951,54,0.2130,54,0.2217,43,0.1932,29,0.0685,33,4453,41,63632,58,0.0619,25,614,26,-0.0097,29,0.8050,57,0.7020,73,0.7549,66,0.7284,66,0.2140,52,2722,54,872,65,0.6910,65,42525,90,0.7318,90,1834.7920,50,1800.3950,50,0.6335,56,0.6009,56,null,null,null,null,0.1665,68,0.1374,52,0.1199,59,1737,56,0.3684,76,5338,9547,0.1840,97,0.1600,94,0.3710,75,23898,64,0.1049,76,3853,66,0.1400,65,0.1360,53,278,95,186,72,69,92,46,74,0.4540,17,0.4540,17,768.5780,58,49.5110,43,169290.3125,27,10905.5126,35,0.0257,79,207.9682,68,0.0700,565.4000,0.358801044191684,0.641198955808316,0.333673094956578,0.666326905043422,0.339352340725097,0.660647659274903,0.330909347641909,0.669090652358091,0.255658033556819,0.744341966443181,0.268471169105978,0.731528830894022,0.259354087867326,0.740645912132674
Sampson,59770,47,0.0054,47,-0.0374,84,-2325,84,39.7469,75,0.1973,79,0.2390,8,0.2508,9,0.1960,67,0.1609,65,0.0550,73,3289,47,292205,1,-0.0300,50,882,8,-0.0813,51,0.7760,78,0.6420,88,0.7061,82,0.6573,89,0.2570,74,3634,70,908,43,0.7195,43,46849,62,0.8062,62,1801.8290,51,1893.8690,46,0.6970,42,0.6488,50,"1,316.5464",81,14.0318,46,0.1816,79,0.1358,48,0.1782,93,2462,72,0.3695,73,5104,6997,0.1650,71,0.1250,39,0.4268,83,25363,67,0.1102,81,3565,60,0.1770,93,0.1790,93,148,52,94,56,25,14,16,36,0.6250,52,0.8250,86,732.9643,66,43.5564,50,88844.1546,86,5279.5639,59,0.1369,14,590.4879,19,0.0700,945.9000,0.457190530816561,0.542809469183439,0.433682412692705,0.566317587307295,0.457447630826312,0.542552369173688,0.445051562259504,0.554948437740496,0.41548158361237,0.58451841638763,0.386439722310322,0.613560277689678,0.350205540661305,0.649794459338695
Scotland,33130,70,0.0030,70,-0.0652,83,-2309,83,40.6023,67,0.7224,62,0.2280,12,0.2387,17,0.2082,54,0.1597,67,0.0648,41,2146,69,51025,68,-0.0698,59,121,89,0.1204,5,0.7940,65,0.6130,91,0.6800,93,0.6231,95,0.3430,95,2648,53,911,42,0.7219,42,41064,97,0.7067,97,1184.9570,67,1155.5410,66,1.0561,16,0.9677,15,"1,904.7619",52,10.0000,57,0.1623,63,0.1699,76,0.1641,91,1393,50,0.3150,94,2675,3632,0.1940,98,0.1790,99,0.5031,96,16774,47,0.1518,97,2755,48,0.1330,48,0.1430,61,322,98,112,60,57,81,20,41,0.9900,100,0.9900,99,762.0125,61,25.4063,72,76970.9630,95,2566.2889,79,0.0622,41,105.1720,93,0.0675,319.1000,0.600725952813067,0.399274047186933,0.554003643619329,0.445996356380671,0.575798248092682,0.424201751907318,0.584864018225829,0.415135981774171,0.539152854511971,0.460847145488029,0.490210792004912,0.509789207995088,0.46511948212933,0.53488051787067
Stanly,64286,44,0.0059,44,0.0658,38,3971,38,42.4598,52,0.9358,54,0.1999,44,0.2153,50,0.2099,52,0.1738,52,0.0507,84,3257,49,109164,26,0.1387,16,649,24,-0.0342,37,0.8610,31,0.8140,22,0.7951,45,0.7836,39,0.1900,38,2594,52,853,77,0.6759,77,48212,54,0.8297,54,1869.7350,48,1812.0860,49,0.7347,38,0.7143,41,"1,593.2406",65,15.0004,42,0.1271,40,0.1211,27,0.1367,74,2081,62,0.4111,55,6257,8845,0.1530,39,0.1250,39,0.3017,42,19237,51,0.0846,43,3086,53,0.1360,55,0.1280,33,194,76,122,62,35,34,22,47,0.6100,47,0.6100,39,674.6155,79,43.0081,51,110592.6982,64,7050.5057,50,0.0744,36,405.6380,30,0.0700,395.1000,0.31246130715486,0.68753869284514,0.300424128180961,0.699575871819039,0.314744566951466,0.685255433048534,0.2975472031057,0.7024527968943,0.244132424805561,0.755867575194439,0.242028165659332,0.757971834340668,0.243990219511525,0.756009780488475
Stokes,46036,55,0.0042,55,0.0066,57,302,57,45.9137,23,1.8809,21,0.1743,77,0.1975,73,0.2296,34,0.1796,43,0.0581,59,2674,65,81361,42,-0.1242,73,726,20,-0.1519,76,0.8110,50,0.7010,75,0.7876,47,0.7571,52,0.1540,19,1259,31,741,98,0.5872,98,46391,65,0.7983,65,1208.3060,66,1111.6890,67,0.6791,46,1.0296,12,"2,710.5059",21,14.8725,44,0.1630,67,0.1749,80,0.0883,33,811,37,0.3896,65,3578,6168,0.1570,50,0.1380,69,0.2857,35,13035,40,0.0823,35,2209,43,0.1280,39,0.1370,55,173,63,79,51,53,75,24,53,0.7100,68,0.6600,52,720.9370,71,32.8928,63,109232.8842,67,4983.7503,61,0.1068,22,397.8483,32,0.0675,449.3000,0.294876304373315,0.705123695626685,0.298036175710594,0.701963824289406,0.321818096709264,0.678181903290736,0.283133380381087,0.716866619618913,0.214177494146274,0.785822505853726,0.207881075979235,0.792118924020765,0.199792038027332,0.800207961972668
Surry,71249,38,0.0065,38,-0.0165,78,-1196,78,42.2362,57,0.0246,80,0.2024,41,0.2195,43,0.2066,55,0.1823,37,0.0459,94,3267,48,105791,29,-0.3061,92,933,6,-0.1231,66,0.7800,77,0.6560,83,0.7515,69,0.7205,72,0.2270,58,3330,63,906,44,0.7179,44,48778,46,0.8394,46,2526.7100,40,2546.1330,39,0.6555,53,0.6247,55,null,null,null,null,0.1434,57,0.1620,70,0.1447,84,2312,69,0.4238,50,6771,10855,0.1790,92,0.1450,83,0.3387,63,24130,65,0.0950,65,3924,68,0.1510,79,0.1470,69,162,59,116,61,46,61,33,62,0.5520,31,0.5520,27,590.4163,96,42.0654,52,106959.4797,70,7620.5420,48,0.0825,30,442.4232,24,0.0700,532.6000,0.334959841091631,0.665040158908369,0.320729210922714,0.679270789077286,0.358671460366376,0.641328539633624,0.31382813845359,0.68617186154641,0.24031579960846,0.75968420039154,0.240519595135001,0.759480404864999,0.231669266770671,0.768330733229329
Swain,13857,89,0.0013,89,-0.0539,71,-789,71,39.9228,72,-0.7474,87,0.2309,9,0.2326,24,0.2021,57,0.1823,38,0.0666,35,923,89,3930,97,-0.6121,98,70,97,-0.2929,95,0.7420,90,0.6030,92,0.6817,92,0.6297,94,0.2070,46,623,14,898,51,0.7116,51,51517,32,0.8866,32,701.4690,77,695.0080,77,1.2211,9,0.8382,31,418.9245,92,0.8328,91,0.1277,45,0.2028,90,0.1235,63,412,19,0.3646,79,1216,1475,0.1820,95,0.1510,92,0.4693,94,6510,18,0.1555,98,1236,25,0.2040,99,0.2420,100,189,71,27,27,98,99,14,31,0.4100,11,0.3600,6,535.4514,100,7.4283,99,148736.5075,37,2063.4216,86,0.0290,76,52.9111,98,0.0700,527.7000,0.485304327701921,0.514695672298079,0.482641660015962,0.517358339984038,0.491763056431826,0.508236943568174,0.468001430103683,0.531998569896317,0.381183822253081,0.618816177746919,0.400518657253998,0.599481342746002,0.38006902502157,0.61993097497843
Transylvania,33230,69,0.0030,69,0.0209,51,680,51,51.0920,5,1.2068,45,0.1545,95,0.1704,97,0.3330,1,0.2888,1,0.0828,18,2752,62,11537,95,-0.2143,87,142,82,-0.3395,96,0.8600,32,0.8080,26,0.8044,37,0.8003,32,0.2090,47,1037,27,902,48,0.7147,48,55406,20,0.9535,20,1795.7560,52,1712.4880,54,0.8611,25,0.9136,20,"3,679.1276",7,13.3479,49,0.1106,27,0.0993,18,0.0661,14,433,20,0.4593,38,3011,3627,0.1500,37,0.1200,31,0.2468,19,8151,28,0.0825,37,1386,29,0.1370,57,0.1550,81,151,53,52,38,20,5,7,18,0.6033,46,0.6033,38,1324.5666,6,43.7491,49,219553.5569,11,7251.6344,49,0.0332,71,222.7389,64,0.0675,378.4000,0.358875844895055,0.641124155104945,0.393786733837112,0.606213266162888,0.436255696809787,0.563744303190213,0.414702308626974,0.585297691373026,0.384002810633564,0.615997189366436,0.420517928286853,0.579482071713147,0.438428459734167,0.561571540265833
Tyrrell,3324,100,0.0003,100,-0.1663,68,-663,68,44.7857,29,2.0045,20,0.1965,51,0.1751,94,0.2386,31,0.1934,28,0.0725,30,241,99,63761,56,0.2043,10,73,96,0.0735,10,0.7540,88,0.6340,89,0.6854,89,0.6418,91,0.2810,81,200,2,826,90,0.6545,90,45079,74,0.7758,74,102.6830,100,115.0470,100,1.3846,4,0.5455,65,"1,339.9213",78,0.5963,92,0.1852,84,0.1586,65,0.3529,100,294,13,0.2593,99,216,355,0.1580,55,0.1370,66,0.3523,70,1177,1,0.0857,47,151,1,0.1740,91,0.1860,95,75,14,3,2,50,69,2,2,0.9500,99,0.9500,97,1280.2661,9,4.2774,100,134764.8518,51,450.2494,100,0.2161,1,101.6860,94,0.0675,390.8000,0.545980707395498,0.454019292604502,0.460907944514502,0.539092055485498,0.492868462757528,0.507131537242472,0.473684210526316,0.526315789473684,0.424778761061947,0.575221238938053,0.420643729189789,0.579356270810211,0.391479562464018,0.608520437535982
Union,263285,8,0.0240,8,0.2233,6,48061,6,39.8293,73,2.0153,17,0.2058,37,0.2746,2,0.1497,91,0.1132,94,0.0402,99,10583,18,212066,4,0.1363,17,882,8,-0.0784,49,0.9300,2,0.9080,2,0.8896,9,0.8915,4,0.0870,2,5386,78,1129,9,0.8946,9,67641,6,1.1640,6,8591.6250,15,8307.1840,15,0.4667,77,0.4732,74,"2,693.5918",22,122.6904,6,0.0938,14,0.0782,12,0.0916,39,5057,91,0.5784,12,31934,56704,0.1050,1,0.0760,1,0.2056,9,52848,86,0.0454,6,7192,81,0.1030,3,0.1080,4,114,39,274,84,21,6,50,76,0.5880,40,0.5880,33,916.5446,40,235.6170,8,155874.9352,31,40070.9255,10,0.0344,69,1187.8259,2,0.0675,632.7000,0.318393704828294,0.681606295171706,0.295654176398987,0.704345823601013,0.365587490622656,0.634412509377344,0.34700790767258,0.65299209232742,0.339822255651004,0.660177744348996,0.377400140968344,0.622599859031656,0.372296073167005,0.627703926832995
Vance,40712,62,0.0037,62,-0.0688,88,-3009,88,38.4137,83,-0.8960,89,0.2299,10,0.2411,16,0.1969,62,0.1622,64,0.0580,60,2362,67,38231,75,-0.4221,97,170,80,-0.2857,93,0.7990,60,0.7040,70,0.7530,68,0.7144,73,0.3150,91,3100,62,872,65,0.6910,65,43356,88,0.7461,88,1265.1220,65,1264.3060,65,0.6593,52,0.5881,63,"1,306.6867",82,9.4709,60,0.1428,52,0.1977,89,0.1792,94,1719,55,0.3370,90,3232,6312,0.1620,64,0.1430,79,0.5630,99,23062,62,0.1187,86,2782,50,0.1430,69,0.1440,63,180,65,80,52,47,64,21,45,0.7129,69,0.8900,96,657.5001,81,26.9332,69,73876.4117,98,3026.1995,75,0.0553,47,121.1591,88,0.0675,252.4000,0.560366624525917,0.439633375474083,0.560015339383868,0.439984660616132,0.633834007317543,0.366165992682457,0.642010408635312,0.357989591364688,0.62517253719135,0.37482746280865,0.597012774949573,0.402987225050427,0.567266150909274,0.432733849090726
Wake,1210000,1,0.1105,1,0.2188,1,217857,1,39.3251,79,3.4206,5,0.2059,36,0.2476,12,0.1401,97,0.1000,97,0.0454,95,55037,1,62323,60,-0.1907,82,664,23,-0.0391,40,0.9420,1,0.9140,1,0.9217,1,0.9190,1,0.0830,1,21956,98,1424,4,1.1284,4,76357,4,1.3140,4,94675.5940,2,91399.4480,2,0.3985,85,0.3718,89,"3,659.3131",8,644.2623,1,0.0811,11,0.0694,7,0.0573,5,19186,99,0.7489,2,250929,300739,0.1110,2,0.0850,2,0.1888,6,224606,99,0.0438,4,33396,99,0.0920,1,0.0950,2,104,34,1152,99,22,7,241,99,0.5135,24,0.6570,51,1146.2634,14,1363.5915,1,174469.3098,25,207548.1675,2,0.0123,91,2217.8823,1,0.0725,834.6000,0.464227703414047,0.535772296585953,0.489322731422417,0.510677268577583,0.572951778063998,0.427048221936002,0.558123702642537,0.441876297357463,0.606906727503819,0.393093272496181,0.634891119601377,0.365108880398623,0.629939082628467,0.370060917371533
Warren,18803,82,0.0017,82,-0.0643,80,-1293,80,44.1157,34,-0.8795,88,0.1747,76,0.1883,82,0.2507,23,0.2161,21,0.0588,57,1106,85,63669,57,0.0476,26,237,71,-0.1124,62,0.7410,91,0.5850,95,0.6819,91,0.6609,88,0.2730,76,877,23,748,97,0.5927,97,37601,100,0.6471,100,316.7940,89,320.0340,89,0.4958,72,0.9091,21,"3,233.1964",14,5.5643,72,0.2500,100,0.2050,92,0.1266,67,517,25,0.3378,88,1380,2475,0.1730,86,0.1380,69,0.3644,72,6829,21,0.0905,55,962,18,0.1620,86,0.1740,91,76,15,15,15,30,25,6,14,0.8100,88,0.8100,84,1240.1071,11,23.2371,76,153099.6397,33,2868.7810,77,0.0501,54,117.1724,89,0.0675,429.4000,0.675125405724402,0.324874594275598,0.645487454749719,0.354512545250281,0.698196866686373,0.301803133313627,0.689661988535284,0.310338011464716,0.666147294068765,0.333852705931235,0.630417651694247,0.369582348305753,0.596263200649878,0.403736799350122
Washington,10304,96,0.0009,96,-0.1499,82,-1817,82,46.7766,17,0.5071,70,0.2145,25,0.2208,42,0.2826,11,0.2143,22,0.0773,23,796,96,76554,46,-0.0392,52,110,90,-0.2199,86,0.6640,98,0.6280,90,0.6285,99,0.5971,98,0.3530,100,760,19,902,48,0.7147,48,45405,70,0.7814,70,276.8030,93,289.9420,92,0.9839,17,0.7200,40,"1,687.3727",62,1.6570,89,0.1860,90,0.1715,79,0.0602,10,125,1,0.3075,95,638,1124,0.1770,91,0.1660,97,0.4409,88,4596,13,0.1448,95,743,15,0.1210,19,0.1290,36,43,5,5,4,17,2,2,2,0.8500,94,0.8500,94,843.8928,45,8.7967,96,99281.5112,77,1034.9105,97,0.1627,10,138.2335,85,0.0700,346.5000,0.554894315616663,0.445105684383337,0.544470933431139,0.455529066568861,0.583982549080711,0.416017450919289,0.593803253292022,0.406196746707978,0.577872900889035,0.422127099110965,0.549781447304517,0.450218552695483,0.531324077209617,0.468675922790383
Watauga,57751,48,0.0053,48,0.1148,32,5946,32,30.0733,99,0.3607,76,0.1144,100,0.1312,100,0.1807,79,0.1467,80,0.0481,89,2777,61,29402,84,-0.4074,96,400,47,-0.2308,88,0.8910,17,0.8290,16,0.8811,13,0.8719,9,0.1280,11,820,21,880,61,0.6973,61,48445,51,0.8337,51,2369.2770,43,2308.7840,43,1.2500,6,0.7571,35,"3,187.3221",15,15.2800,41,0.0553,8,0.0566,5,0.0694,16,740,33,0.6687,5,7133,13321,0.1530,39,0.1260,42,0.1294,1,7320,23,0.0385,2,1352,28,0.1260,31,0.1330,44,77,16,43,32,25,13,14,31,0.3180,3,0.3180,2,800.7232,51,45.3065,47,251799.7597,7,14247.3340,30,0.0205,84,279.4998,52,0.0675,312.4000,0.432624884492037,0.567375115507963,0.470135197354652,0.529864802645348,0.521754712923805,0.478245287076195,0.484011465584633,0.515988534415367,0.507921681336447,0.492078318663553,0.542298799607259,0.457701200392741,0.530342682964377,0.469657317035623
Wayne,117140,26,0.0107,26,-0.0407,95,-4968,95,37.7557,90,0.8039,60,0.2449,6,0.2469,13,0.1779,82,0.1458,83,0.0909,13,10646,17,149752,10,-0.0943,63,415,44,-0.2468,91,0.8690,25,0.7990,30,0.7771,51,0.7696,45,0.2640,75,7185,87,906,44,0.7179,44,49370,44,0.8496,44,4950.9040,24,4947.2180,24,0.6136,58,0.5940,58,"1,249.5340",85,22.8565,33,0.1272,41,0.1349,46,0.1398,76,4116,84,0.4368,45,12859,20498,0.1600,57,0.1300,48,0.3931,78,45963,79,0.0928,59,6146,76,0.1480,76,0.1490,73,114,38,140,65,23,9,28,59,0.7675,80,0.7425,73,603.7418,90,70.5979,30,81312.0305,93,9508.1410,39,0.0815,31,600.9343,18,0.0675,553.9000,0.385184965790955,0.614815034209045,0.377286718886859,0.622713281113141,0.456864760292606,0.543135239707394,0.457540967520361,0.542459032479639,0.441492597850335,0.558507402149665,0.440881945961693,0.559118054038307,0.417321672386435,0.582678327613565
Wilkes,66315,42,0.0060,42,-0.0206,81,-1397,81,43.9679,38,0.6706,64,0.1936,58,0.2103,60,0.2274,37,0.1910,30,0.0529,78,3511,46,114778,21,0.0756,24,871,11,-0.0655,45,0.8420,41,0.7460,52,0.7715,56,0.7488,54,0.2840,84,3583,69,876,63,0.6941,63,47495,57,0.8173,57,2459.8930,41,2437.3810,41,0.8124,30,0.9089,22,"1,813.9333",55,14.9087,43,0.1434,56,0.1553,64,0.1452,85,2103,63,0.3931,63,5694,9337,0.1750,88,0.1490,87,0.3371,62,22252,57,0.1015,72,3795,65,0.1550,80,0.1470,69,190,72,130,64,35,35,24,53,0.6600,62,0.6600,53,634.3799,88,41.8710,53,96118.1711,80,6344.0877,53,0.1182,20,635.9040,15,0.0700,753.7000,0.300432396474306,0.699567603525694,0.290550279019919,0.709449720980081,0.305728560673465,0.694271439326535,0.284268918117434,0.715731081882566,0.218427114182297,0.781572885817703,0.213970315927414,0.786029684072586,0.199800033327779,0.800199966672221
Wilson,78355,37,0.0071,37,-0.0113,74,-894,74,39.4425,78,0.4430,75,0.2215,18,0.2378,18,0.1887,76,0.1570,73,0.0621,49,4865,37,126286,18,0.0272,31,207,77,-0.2500,92,0.8000,59,0.7530,49,0.7036,83,0.7392,60,0.3060,89,5358,77,1019,18,0.8074,18,48774,47,0.8394,47,3740.0540,30,3780.1620,30,0.2709,98,0.2664,98,"2,039.9566",46,24.5448,32,0.1677,73,0.2109,93,0.1340,73,2492,73,0.3954,61,7356,11532,0.1650,71,0.1370,66,0.4109,82,32217,74,0.1105,82,4925,71,0.1600,83,0.1510,76,188,70,154,68,37,39,30,60,0.5950,43,0.7300,64,761.3824,63,59.7038,39,104298.9528,72,8178.6024,46,0.0386,62,208.9844,67,0.0675,367.6000,0.455523208798318,0.544476791201682,0.466229077781424,0.533770922218576,0.530747832662652,0.469252167337348,0.537613639290221,0.462386360709779,0.528660536645696,0.471339463354304,0.514540721457791,0.485459278542209,0.502004589122267,0.497995410877733
Yadkin,37511,66,0.0034,66,0.0011,59,40,59,43.2157,44,0.5341,68,0.1938,57,0.2187,45,0.2134,48,0.1794,44,0.0563,67,2113,70,98329,34,0.1235,18,754,18,-0.0782,48,0.8070,56,0.7170,66,0.7566,65,0.7247,70,0.1760,32,1308,35,855,75,0.6775,75,47455,58,0.8167,58,938.1470,70,940.2180,70,1.1570,13,0.7449,37,"1,652.2265",63,8.2000,63,0.1429,53,0.1459,55,0.0743,20,602,29,0.3899,64,3161,4545,0.1560,46,0.1310,50,0.3048,43,11400,38,0.0772,28,1669,32,0.1460,74,0.1540,79,186,67,70,47,50,71,19,38,0.6500,58,0.6500,48,703.1132,73,26.2950,71,108171.2620,68,4045.3889,68,0.1446,12,511.7954,21,0.0675,334.9000,0.230570712284324,0.769429287715676,0.226043099495644,0.773956900504356,0.267300425129901,0.732699574870099,0.239310553371636,0.760689446628364,0.185446009389671,0.814553990610329,0.19105402112104,0.80894597887896,0.185300822678164,0.814699177321836
Yancey,18606,83,0.0017,83,0.0479,50,850,50,45.7850,24,-0.3944,83,0.1777,73,0.1891,80,0.2573,20,0.2301,13,0.0499,86,928,88,21341,90,-0.3076,93,288,59,-0.2195,85,0.7940,65,0.7030,72,0.7587,61,0.7282,67,0.2140,52,702,16,844,82,0.6688,82,42006,91,0.7229,91,401.4300,87,413.9310,87,0.3333,91,0.4490,80,null,null,null,null,0.0555,10,0.0554,3,0.0703,17,271,10,0.4374,44,1686,3090,0.1670,74,0.1360,64,0.3089,46,5718,17,0.0941,62,960,17,0.1430,69,0.1470,69,94,27,17,17,22,8,4,7,0.5200,26,0.6000,37,813.5367,50,15.0586,82,135589.4478,49,2509.7607,80,0.0763,33,169.2870,80,0.0675,312.6000,0.427683095347766,0.572316904652234,0.473010454448475,0.526989545551525,0.470674640646312,0.529325359353688,0.429960038881089,0.570039961118911,0.333576870890304,0.666423129109696,0.329168154230632,0.670831845769368,0.326184493898062,0.673815506101938
Min,3324,1,0.0003,1,-0.2090,1,-8645,1,25.4408,1,-5.3903,1,0.1144,1,0.1312,1,0.1048,1,0.0851,1,0.0386,1,220,1,115,1,-0.9785,1,18,1,-0.4375,1,0.6330,1,0.5290,1,0.6254,1,0.5871,1,0.0830,1,198,1,683,1,0.5412,1,37601,1,0.6471,1,102.6830,1,115.0470,1,0.0000,1,0.1439,1,418.9245,1,0.5963,1,0.0467,1,0.0425,1,0.0487,1,125,1,0.2314,1,216,354,0.1050,1,0.0760,1,0.1294,1,1177,1,0.0369,1,151,1,0.0920,1,0.0870,1,35,1,2,1,10,1,1,1,0.2700,1,0.2700,1,535.4514,1,4.2774,1,69031.0743,1,450.2494,1,0,1,0.0905,1,0.0675,172.7000,0.2306,0.3028,0.2260,0.3172,0.2673,0.2382,0.2393,0.2329,0.1854,0.1895,0.1911,0.1832,0.1777,0.1853
Max,1210000,100,0.1105,100,0.4452,100,217857,100,53.5000,100,4.9425,100,0.3169,100,0.3100,100,0.3330,100,0.2888,100,0.1553,100,55037,100,292205,100,1.1593,100,1238,100,0.3814,100,0.9420,100,0.9140,100,0.9217,100,0.9190,100,0.3530,100,35626,100,1767,100,1.4002,100,79769,100,1.3727,100,129565.4660,100,127496.7340,100,2.1600,100,1.7419,100,5723.0693,92,644.2623,92,0.2500,100,0.2664,100,0.3529,100,31408,100,0.8079,100,250929,300739,0.2160,100,0.1800,100,0.5909,100,322419,100,0.1819,100,52822,100,0.2050,100,0.2420,100,500,100,1779,100,102,100,317,100,0.9900,100,1.0450,100,2248.7191,100,1363.5915,100,463592.1766,100,287458.0754,100,0.2161,100,2217.8823,100,0.0750,947.3000,0.6972,0.7694,0.6828,0.7740,0.7618,0.7327,0.7671,0.7607,0.8105,0.8146,0.8168,0.8089,0.8147,0.8223
