,population,populationChangeSince2014,populationChangeSince2014Number,medianAge,veteranNumber,agriculturalLandAcres,numberOfFarms,childPovertyTotal,averageWeeklyWage,perCapitaIncome,gdp2022,Gdp2021,k12FundingADM,k12Funding,adultsWithoutHSDiplomaTotal,educationalAttainmentNumber,educationalAttainmentGoal2030,medicaidEnrollmentTraditionalNumber,medicaidEnrollmentExpansionNumber,drugOverdoseEmergenciesPerHundredThousand,drugOverdoseEmergenciesTotal,overDoseDeathsPerHundredThousand,overDoseDeathsTotal,propertyTaxRate,propertyTaxLevy,propertyTaxPerCapita,propertyTaxTotalLevy,PropertyValuationPerCapita,PropertyValuationTotal,puvDeferredShare,puvValuationDeferred,localSalesTaxRate,Area (Square Mile),Lat,Long
overDoseDeathsPerHundredThousand,0.45770992843589900,0.7775352151656050,0.45804054601981100,0.8569824410296100,0.5240465928299510,0.7209322769479750,0.7360630436445200,0.542514408466442,0.7205655804344730,0.7271552973669550,0.335128911823981,0.3356797579984700,0.7514338806062770,0.3575416769999820,0.480096822112681,0.3587885183404730,0.3751112020298720,0.5202671087733420,0.5255631865616580,0.8745064404956010,0.5381297583703730,,,,,,,,,,,,,,
overDoseDeathsTotal,0.9325435494506580,0.6914542979871720,0.8559569780183040,0.5262884888997060,0.9440106948388520,0.5319254637186230,0.6515414086953070,0.9690181177456850,0.8334169760855480,0.7108748061362,0.846238154801925,0.8466167025133310,0.6696563652938100,0.8671543687239750,0.9298567274523360,0.8686582933286360,0.8803151733637340,0.9643375761380810,0.9666539264066530,0.6468463444206510,0.9726214103656820,0.6243469051816040,,,,,,,,,,,,,
propertyTaxRate,0.44294986415132200,0.736884335707852,0.4488789279029000,0.8747895755491800,0.4877158063419310,0.8334498502814100,0.7309365703069330,0.529324556275128,0.7626259305139210,0.7216448072622940,0.3278141772761920,0.327958418410379,0.7841362380444730,0.36236626334330400,0.4630057905527210,0.35578434184488000,0.3701838275333440,0.5006470533605640,0.49414280171692600,0.778705210090074,0.48825970914865700,0.7882778303603390,0.5318934772357320,,,,,,,,,,,,
propertyTaxLevy,0.4545664944708000,0.7448926012452740,0.465074057919319,0.8758711238320250,0.4944895211296960,0.8495807283672820,0.738346330908081,0.5347173976564180,0.7669070648608590,0.715544534717025,0.33560194636965800,0.3355690876788140,0.7793932308181460,0.374122089870629,0.4708199468467900,0.3682876839252080,0.38311425193016700,0.5085897646609230,0.5005597318571910,0.7750230006157690,0.49162937992542500,0.7901065680795860,0.5365935979836760,0.9886444884476050,,,,,,,,,,,
propertyTaxPerCapita,0.5231166931001200,0.7343125864238940,0.5891528890486180,0.7936155389292190,0.5084533991103370,0.5923872290367930,0.5777112013496620,0.5072538311618820,0.7230531119122920,0.8036065325519250,0.4719263658105130,0.47161771624566000,0.8818142039039120,0.5014488710176440,0.5162938156426810,0.4842827453831240,0.49314276656274600,0.5177954143437540,0.5198196993476330,0.5687333406635530,0.509026154907965,0.6292857672778160,0.5172054281931610,0.7440772239635600,0.7379364866445570,,,,,,,,,,
propertyTaxTotalLevy,0.9890849928258320,0.5653100580278190,0.9697767095457680,0.38533838108085100,0.9082922063659760,0.38701863920919300,0.4791743699804500,0.9126948816164810,0.7539443024908320,0.6605306108143230,0.9804323977080660,0.9794376876206390,0.5849714134718840,0.9968876099873840,0.9634080813597310,0.9960731776434350,0.9980697653933810,0.9504628423846010,0.9462948172206980,0.4504577348579160,0.9351409064264850,0.3865737127488010,0.8818987274286130,0.38435274673783300,0.39577677672552000,0.519283117796794,,,,,,,,,
PropertyValuationPerCapita,0.5401423484010150,0.7954065577487680,0.6086240059054030,0.7868814219168860,0.5433896002963340,0.5143856303251190,0.594384012838062,0.5145758726812470,0.7124069987001320,0.8231617990982170,0.480259206859983,0.4802858122705800,0.8736165561217740,0.5026905397464410,0.528634845618409,0.4885051565678950,0.5027201225344330,0.5313690953848660,0.5405299013422220,0.5717726160725900,0.5276871576754110,0.6635747178691670,0.5519477675885640,0.5787835358562260,0.5672398186443030,0.8911464955103640,0.527527804125615,,,,,,,,
PropertyValuationTotal,0.9687598904991250,0.5542806551522900,0.9569635002742160,0.38036093670462200,0.8850007587135960,0.3719604265769270,0.455473568804417,0.8975897040834560,0.7304128845370180,0.6478682652378880,0.9856425929025230,0.9855479332351860,0.5714558428240540,0.9775934185156980,0.9647068245460700,0.9798892012704350,0.9833077517557090,0.9392513941875580,0.9409840989598520,0.4452067247569350,0.925235869213265,0.38433015693776700,0.8614538619813130,0.351609945413515,0.35934510381882700,0.5209711260153450,0.9849930471040310,0.560543999250061,,,,,,,
puvDeferredShare,0.2771372090892780,0.5668364356506830,0.32641972995690400,0.787617608423121,0.29171253361181300,0.7927663598067490,0.6271669897444330,0.3276471651526150,0.5566776108651670,0.5625883378978400,0.2157451004154000,0.21633072931496000,0.6144543666700090,0.22617528699826800,0.31002708940504900,0.22572733950113900,0.23657284586125300,0.31494222067909800,0.3112771675664010,0.6288984909110690,0.29727928006729400,0.6651666086123200,0.3122043817245500,0.8623320911988300,0.8672232675068530,0.6485467620328820,0.24302824422631700,0.4954175350401160,0.2418372685189640,,,,,,
puvValuationDeferred,0.7833141363393350,0.8323688336886040,0.8220552129735000,0.7103997794337820,0.7689812417813800,0.7642480421604760,0.8718028029215250,0.7370261144182920,0.8315052281776140,0.8282465593411440,0.6484279680350960,0.6468719957026460,0.7548020076107780,0.7257492019021,0.7441474095918700,0.7157149393997030,0.7344261721329790,0.7555257448125300,0.7422860408692900,0.6620892239040070,0.7378224124613090,0.6468100108414790,0.7590874920634550,0.6679388143881520,0.6829851294392870,0.6472067379259360,0.7410181922628570,0.6486986538470210,0.7107172045694910,0.5813056421471980,,,,,
localSalesTaxRate,0.6487545119835110,0.6415664482805470,0.6376644206799410,0.6063092635066960,0.6384611980823680,0.5621723240950240,0.6337903691206010,0.6496358811226630,0.7985711382200650,0.6773076889740040,0.6008715660302330,0.5999597328468690,0.6776166633367110,0.6123962746504760,0.6505354921619470,0.6204212835086230,0.6145236436677220,0.6516392301606410,0.6527615626706310,0.6092350994831190,0.658289473836364,0.605942458107602,0.6821637969297880,0.6215516067191390,0.6149682345621850,0.5547073337158670,0.6244534527898240,0.5440321545609090,0.6024164330526190,0.5247952963259250,0.695710813191262,,,,
Area (Square Mile),0.5598669402311730,0.7794173068744240,0.5615132757434490,0.8098510394190690,0.6153830101244690,0.8949682989679680,0.8433022038335210,0.6153248511506580,0.7484694942302390,0.7505930777319600,0.41255740793077400,0.4125437581840390,0.7420881140519460,0.46425467769351000,0.5610934718344750,0.4578359978863000,0.4808550368076640,0.6017643805084180,0.5961229849996500,0.7183654264826050,0.5752867662503880,0.7914580014228940,0.6504086575514820,0.8011156848305770,0.8100410233931000,0.6371082606222210,0.4909744201639360,0.6173826046047740,0.4703780689391240,0.6767906094618540,0.7965767856562430,0.5982534777099980,,,
Lat,0.4851040622867870,0.8791837206114260,0.5065530177031340,0.9627616041090710,0.5370765733922880,0.8081837872177160,0.8143606449407060,0.544533906151088,0.8211707835349090,0.8226256047264380,0.33656201809898800,0.33625340428394100,0.8661375576435620,0.38392417087828600,0.4830735378911640,0.377670661286834,0.40007515377073800,0.5251402494029960,0.5220698505493590,0.8045640441971760,0.5190904619832880,0.8688021286657240,0.588438906077957,0.9120722574774600,0.9143457421099670,0.7600418965518100,0.4156458167709440,0.7420205107974930,0.3950431494413010,0.7814953035271450,0.735097650705956,0.6473403969429230,0.84320815787669,,
Long,-0.48356288991023000,-0.8799789531370540,-0.5046022625629590,-0.9622568174860690,-0.5362444376117890,-0.8007263878636140,-0.8161666933713060,-0.5428093215521320,-0.819420866196629,-0.8199127195996970,-0.3336443664713410,-0.33331796004269300,-0.862493648854428,-0.3811883282045780,-0.48112768312673800,-0.3751046476994400,-0.3979454404693550,-0.523632999648886,-0.5208794068160320,-0.8053561665951680,-0.5185145620463610,-0.8684645906110910,-0.5884214079875380,-0.9049278876426460,-0.9066649921164190,-0.7543231479953610,-0.41361236813723600,-0.7422700534122920,-0.3933934636006420,-0.7706610822187920,-0.7330198490722690,-0.6472647708540130,-0.8421295722762520,-0.999422007457852,
