population,populationPercentOfState,populationChangeSince2014,medianAge,medianAgeChangePercent,under18Percent,under18ChangeSince2014Percent,over65in2024Percent,over65ChangeSince2014Percent,veteranPercent,agriculturalLandAcres,agriculturalLandChangeSince2017Percent,numberOfFarms,numberOfFarmsChangeSince2017Percent,broadbandInternetAccess2022Percent,broadbandInternetAccess2019Percent,computingDeviceAccess2022Percent,computingDeviceAccess2019Percent,childPovertyPercent,childPovertyTotal,averageWeeklyWage,averageWeeklyWageAsPercentofStateAverage,perCapitaIncome,perCapitaIncomeAsPercentofStatePCI,gdp2022,Gdp2021,preKEnrollment2023Percent,preKEnrollment2022Percent,k12FundingADM,k12Funding,youthOpportunity2022Percent,youthOpportunity2019Percent,adultsWithoutHSDiplomaPercent,adultsWithoutHSDiplomaTotal,educationalAttainmentPercent,educationalAttainmentGoal2030,foodInsecurity2022Percent,foodInsecurity2021Percent,medicaidEnrollmentTraditionalPercent,medicaidEnrollmentExpansionPercent,uninsuredResidents2021Percent,uninsuredResidents2020Percent,drugOverdoseEmergenciesPerHundredThousand,drugOverdoseEmergenciesTotal,overDoseDeathsPerHundredThousand,overDoseDeathsTotal,propertyTaxRate,propertyTaxLevy,propertyTaxPerCapita,propertyTaxTotalLevy,PropertyValuationPerCapita,PropertyValuationTotal,puvDeferredShare,puvValuationDeferred,localSalesTaxRate,Area (Square Mile),Lat,Long
0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999991820395793,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6274973646791351,0.6271371343192731,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44105920239777224,0.44075653843045726,0.8665149338427509,1.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5546336393953442,0.5542482491009562,0.9179558980797705,0.9603843236013447,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5721451812816596,0.5717951931824325,0.8328088423947914,0.8692635239944646,0.9027393769395744,1.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5903574273606719,0.5899779445351127,0.8749551542535339,0.8828701596173997,0.9249104657733342,0.9900055605671264,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36256137649809705,0.3623359588123943,0.7952071718874316,0.9802737142202763,0.909288527213412,0.8053087762250364,0.8082895679950445,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.348512798801629,0.34830464855957805,0.7827134239126692,0.9680453985903699,0.8805517130577407,0.7972564382799386,0.7949057073397543,0.9930821018575307,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4168971152641967,0.41678577437115255,0.725847559598402,0.8120673455187416,0.7744651893375812,0.7921468042569512,0.7706405324454645,0.8249190529905823,0.830139233179256,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45471565807424436,0.4545282371764012,0.6994933633343527,0.764488686800067,0.7825323516179377,0.8667037599355466,0.8657979207500982,0.7158978625633163,0.7058318051583247,0.6752619151508754,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5220067109452804,0.5216697847433384,0.8752271434652122,0.9364344783023021,0.9460615898557865,0.9207959123429139,0.9264760650102606,0.8970419268695878,0.8882115111709037,0.8236199365982967,0.832414214689409,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5564184698938626,0.5561159450869982,0.8249295650241969,0.7857551978450892,0.8269894112469685,0.8096486871408302,0.8424988340360615,0.7175588074104233,0.7101782900728739,0.5749705919673375,0.835504453663239,0.8126857003071825,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.511329470153174,0.5110372881345653,0.8758949663451593,0.9104123237052049,0.9292988709740211,0.9003977595909177,0.9072222615103508,0.8654084748636146,0.8621009424183893,0.7839834267008682,0.7984558828965529,0.9569947265141794,0.8289503567323976,0.9999999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6020227544116308,0.601600941027909,0.9493199022398813,0.9067495987756766,0.9547071272683537,0.8765067349140371,0.9071009318478187,0.8410877909818912,0.8227925961131567,0.7663509512976885,0.7260385361207955,0.9105712453954355,0.821377208378749,0.893532910043834,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6124717965405749,0.6120584852283781,0.9520296143095776,0.8940466370988893,0.9456639166093332,0.8657230867959471,0.8994972337604289,0.8286147860841577,0.8108033117057298,0.7703104784779253,0.7097966390597212,0.9053821082414165,0.8091054854582894,0.8893766515871468,0.9902321058893689,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.622640475824581,0.6222394185424964,0.9591286723548376,0.8740428339684462,0.9290692155456689,0.8253077384286358,0.8655103029533328,0.809186292163666,0.7902871962357335,0.752564907614129,0.6829631140169966,0.8851044950789252,0.8008828665900538,0.8684733945506824,0.9788294620541522,0.982344266991754,0.9999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6272074467200432,0.6268055147487158,0.9590567031860808,0.8734145560463302,0.931047985352061,0.8335699887937821,0.8734950380074961,0.8076859442274185,0.7895787352769568,0.75878623078447,0.6893376118509167,0.8880184068117515,0.8022002254641304,0.8673810521915387,0.9819677797517794,0.9909393197698776,0.9936447806197855,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.34609191480845514,0.345838120970562,0.6343782957997416,0.8589644219540932,0.8218012059228754,0.8826416510158835,0.8499054079312621,0.8572630902227566,0.8509726811129142,0.755281205142186,0.8137628303375147,0.8708594880056191,0.656096142359664,0.8283568656307726,0.7203600812509805,0.7002065701626444,0.6454492150814695,0.6537659230116988,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9512355357493367,0.9510114484838448,0.6366437749569536,0.48003374283993844,0.5949548681009973,0.659298957606096,0.6627107535558422,0.4055050385393269,0.39215203179498087,0.48822275802766957,0.5383009936970603,0.5822720972467503,0.6003814613224357,0.5594067658021252,0.6309535847458584,0.6359360588081036,0.6324445999454149,0.6385612367441873,0.4612342537690633,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7975736366290392,0.79723464979001,0.8615378937129402,0.7639717199715945,0.8512637318125504,0.8448908478965349,0.8609885712605132,0.6896866490955234,0.6720442222417283,0.6413542108849376,0.6880648361144953,0.8219382065871238,0.7630156868285636,0.8098556754297481,0.8800757817589296,0.8827431798652274,0.8776381762713085,0.8784735382345468,0.6585472972133795,0.8132106866498889,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7975736366290392,0.79723464979001,0.8615378937129402,0.7639717199715945,0.8512637318125504,0.8448908478965349,0.8609885712605132,0.6896866490955234,0.6720442222417283,0.6413542108849376,0.6880648361144953,0.8219382065871238,0.7630156868285636,0.8098556754297481,0.8800757817589296,0.8827431798652274,0.8776381762713085,0.8784735382345468,0.6585472972133795,0.8132106866498889,0.9999999999999999,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.693590336301543,0.6933239436361888,0.8741034509708595,0.8156433410675834,0.8661606217351467,0.7737531564666188,0.8112720464068655,0.7592273891048281,0.7378432304281652,0.6976160985806787,0.673788501088132,0.8087562506885265,0.7539701884886515,0.7896744695644511,0.900645503794133,0.9059271681190978,0.9180629606953922,0.9188659831171846,0.593595907722433,0.6720832091768183,0.8854277324513791,0.8854277324513791,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.693590336301543,0.6933239436361888,0.8741034509708595,0.8156433410675834,0.8661606217351467,0.7737531564666188,0.8112720464068655,0.7592273891048281,0.7378432304281652,0.6976160985806787,0.673788501088132,0.8087562506885265,0.7539701884886515,0.7896744695644511,0.900645503794133,0.9059271681190978,0.9180629606953922,0.9188659831171846,0.593595907722433,0.6720832091768183,0.8854277324513791,0.8854277324513791,1.0000000000000002,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.958924355028748,0.959047385467949,0.47317686035444734,0.31041040409741605,0.4080978125743843,0.43805436047533003,0.4391086017032368,0.2534357612550666,0.24382271435376052,0.3283132317842482,0.3273920877708625,0.3813006683403044,0.3890893365321618,0.3727631798277735,0.44828679448533004,0.4597254794714071,0.47217907360448486,0.4755214600259352,0.25327146470429784,0.8986432027241635,0.7047218450606464,0.7047218450606464,0.5834186308184739,0.5834186308184739,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9581797385691614,0.9582989187015263,0.47254192592490873,0.3100719952088781,0.4075962851714897,0.4385769972509173,0.43922921512946705,0.2533956624926449,0.24391487193822076,0.3299059499140336,0.3281475018915325,0.381364801137556,0.38877477565855706,0.3725710540474428,0.44767595100959723,0.4590712999098152,0.4713540407920556,0.4747772971588261,0.2540687302123595,0.8996840703493227,0.7040889872067455,0.7040889872067455,0.5824285169970768,0.5824285169970768,0.9999624452557376,0.9999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
