population,populationChangeSince2014,populationChangeSince2014Number,medianAge,veteranNumber,agriculturalLandAcres,numberOfFarms,childPovertyTotal,averageWeeklyWage,perCapitaIncome,gdp2022,Gdp2021,k12FundingADM,k12Funding,adultsWithoutHSDiplomaTotal,educationalAttainmentNumber,educationalAttainmentGoal2030,medicaidEnrollmentTraditionalNumber,medicaidEnrollmentExpansionNumber,drugOverdoseEmergenciesPerHundredThousand,drugOverdoseEmergenciesTotal,overDoseDeathsPerHundredThousand,overDoseDeathsTotal,propertyTaxRate,propertyTaxLevy,propertyTaxPerCapita,propertyTaxTotalLevy,PropertyValuationPerCapita,PropertyValuationTotal,puvDeferredShare,puvValuationDeferred,localSalesTaxRate,Area (Square Mile),Lat,Long
0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6274973646791351,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9673794573645756,0.6857738317188842,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44105920239777224,0.8665149338427509,0.4892474831816143,1.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9478233213595434,0.662589740843204,0.8942155148032274,0.4814864273664265,1.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45471565807424436,0.6994933633343527,0.4603538676004288,0.764488686800067,0.48711292018971647,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5564184698938626,0.8249295650241969,0.5608510865735817,0.7857551978450892,0.5761684928833971,0.835504453663239,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9512355357493367,0.6366437749569536,0.8701022893108169,0.48003374283993844,0.9417554434050592,0.5383009936970603,0.6003814613224357,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7975736366290392,0.8615378937129402,0.7896936916669263,0.7639717199715945,0.790854501511736,0.6880648361144953,0.7630156868285636,0.8132106866498889,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
0.693590336301543,0.8741034509708595,0.7198675348388919,0.8156433410675834,0.6954345939802938,0.673788501088132,0.7539701884886515,0.6720832091768183,0.8854277324513791,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,
0.958924355028748,0.47317686035444734,0.9279747490582285,0.31041040409741605,0.8717718550052049,0.3273920877708625,0.3890893365321618,0.8986432027241635,0.7047218450606464,0.5834186308184739,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0.9581797385691614,0.47254192592490873,0.9264733700873771,0.3100719952088781,0.8718590313780503,0.3281475018915325,0.38877477565855706,0.8996840703493227,0.7040889872067455,0.5824285169970768,0.9999624452557376,0.9999999999999997,,,,,,,,,,,,,,,,,,,,,,,
0.6204925189557843,0.871048932905819,0.6497216083599474,0.868409167106641,0.6361444407939423,0.6570412099824857,0.7227727937100449,0.6236392553613515,0.8661519042381576,0.9156094410253794,0.5158167316857541,0.5149844846800672,1.0,,,,,,,,,,,,,,,,,,,,,,
0.9831842883022028,0.5342776937542395,0.9618679918314231,0.35353559631958464,0.897110287460646,0.36556142710526746,0.4536318172487464,0.9031070857059404,0.7361377334148466,0.6404311423679178,0.9799559155049449,0.9788359671687753,0.5686472945484975,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,
0.9746021806624657,0.6056739263559916,0.9280408802644013,0.4393774178718269,0.9088773909578892,0.488873823467808,0.563244559307863,0.9687337296494041,0.7937169912372735,0.661551150555119,0.9630087444273446,0.9636023550423205,0.5970093068989035,0.954616411850298,1.0,,,,,,,,,,,,,,,,,,,,
0.9829123485364492,0.5224187120629131,0.9599434569539983,0.34370665444796966,0.9047251233006836,0.3597635147295235,0.44326064292014866,0.9028631015783908,0.7285713046653394,0.6215099824901695,0.9856401272718645,0.9846150141660067,0.5468505887027504,0.9961842915747339,0.9566369079948916,0.9999999999999998,,,,,,,,,,,,,,,,,,,
0.989005027872738,0.5458624802566171,0.9647593331777334,0.36525631257533314,0.9096475695738176,0.38196622261701885,0.4702577093001955,0.9139137336101428,0.7384310256161613,0.640138020933353,0.9815290509708976,0.9806163852976582,0.5617873385865082,0.9967733175100693,0.9639718690319661,0.9975478621391756,0.9999999999999996,,,,,,,,,,,,,,,,,,
0.9782242009031655,0.6370992111559425,0.9168007178042312,0.47056069565066005,0.954213401592205,0.5136981398537411,0.5878101770453324,0.9916396750532418,0.8092574829940661,0.6784942362247105,0.9347914872704506,0.935449508864232,0.6203078643844822,0.9399943347157236,0.9851024060675823,0.9422639498607425,0.9512617472397578,1.0,,,,,,,,,,,,,,,,,
0.9733191483554531,0.6326440169925726,0.9085313324882333,0.4713434994405327,0.9497209563380828,0.5045837530364022,0.5812213564045707,0.9903033681831638,0.8046788562564007,0.6773837251727195,0.934141999934127,0.9350038640877463,0.6224612965894052,0.9349406095329998,0.9838224029985673,0.9372703604685788,0.9470644142580027,0.998068224217532,1.0,,,,,,,,,,,,,,,,
